FullPath,Type,PropertyName,PropertyValue
\\SVCS-ACE\%OSI\ACEClassLibraries\BrianFirstACE,Module,,
\\SVCS-ACE\%OSI\ACEClassLibraries\BrianFirstACE||FileName,Property,FileName,C:\Program Files (x86)\PIPC\ACE\ClassLibraries\BrianFirstACE\BrianFirstACE.vbproj
\\SVCS-ACE\%OSI\ACEClassLibraries\BrianFirstACE||IsACEExe,Property,IsACEExe,1
\\SVCS-ACE\%OSI\ACEClassLibraries\BrianFirstACE||IsModified,Property,IsModified,0
\\SVCS-ACE\%OSI\ACEClassLibraries\BrianFirstACE||SourceFileLocation,Property,SourceFileLocation,SVCS-ACE
\\SVCS-ACE\%OSI\ACEClassLibraries\BrianFirstACE||Status,Property,Status,1
\\SVCS-ACE\%OSI\ACEClassLibraries\BrianFirstACE||StatusSince,Property,StatusSince,5/30/2022 3:55:34 PM
\\SVCS-ACE\%OSI\ACEClassLibraries\BrianFirstACE||AssemblyPath,Property,AssemblyPath,C:\Program Files (x86)\PIPC\ACE\ClassLibraries\BrianFirstACE\bin\Debug\BrianFirstACE.dll
\\SVCS-ACE\%OSI\ACEClassLibraries\BrianFirstACE||ProcessID,Property,ProcessID,3528
